dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,em_min,em_max,target_classification,obs_title,t_obs_release,instrument_name,proposal_pi,proposal_id,proposal_type,project,sequence_number,provenance_name,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,intentType,obsid,objID
spectrum,3,JWST,jw01208-c1016_s00126_niriss_f115w-gr150r,MACSJ1423.8+2404,215.9490833,24.0777,60001.52633,60004.09433,1202.518,Infrared,GR150R;F115W,800,2200,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,60367.14832,NIRISS/WFSS,"Willott, Chris J.",1208,GTO,JWST,-999,CALJWST,POLYGON 215.96924299 24.05883479 215.92849776 24.05901807 215.92890558 24.0965209 215.96965359 24.09630696 215.96924299 24.05883479,mast:JWST/product/jw01208-c1016_s00126_niriss_f115w-gr150r_cal.jpg,mast:JWST/product/jw01208-c1016_s00126_niriss_f115w-gr150r_x1d.fits,PUBLIC,False,NaN,science,127232949,411084657
spectrum,3,JWST,jw06585-o004_s11794_nirspec_clear-prism,v5_withfillers_withrefstars,150.1253671,2.362419444,60428.98944,60429.23482,5908.5,Infrared,CLEAR;PRISM,600,5300,,The High-z Menagerie: A Rare Chance to Study the Early and Exotic Transient Universe,60429.38758,NIRSPEC/MSA,"Coulter, David",6585,DD,JWST,-999,CALJWST,POLYGON 150.139406255 2.398907081 150.140178667 2.398907081 150.140178667 2.398578252 150.139406255 2.398578252,mast:JWST/product/jw06585-o004_s11794_nirspec_clear-prism_cal.jpg,mast:JWST/product/jw06585-o004_s11794_nirspec_clear-prism_s2d.fits,PUBLIC,False,NaN,science,213963974,422119253
spectrum,3,JWST,jw01076-o103_s00864_nircam_f322w2-grismr,P330-E,247.8908408,30.14605556,59674.4922,59674.4958,107.368,INFRARED,F322W2;GRISMR,2430,4013,Calibration; Spectrophotometric,NIRCam LW Grism Baseline Characterization (CAR NIRCam-032),59774.85417,NIRCAM/GRISM,"Pirzkal, Norbert",1076,COM,JWST,-999,CALJWST,POLYGON 247.91184822 30.12787888 247.86984946 30.12807611 247.87032374 30.1640234 247.91135473 30.16408729 247.91184822 30.12787888,mast:JWST/product/jw01076-o103_s00864_nircam_f322w2-grismr_cal.jpg,mast:JWST/product/jw01076-o103_s00864_nircam_f322w2-grismr_x1d.fits,PUBLIC,False,NaN,science,213095045,564009283
image,3,JWST,jw01536-o060_t013_nircam_f150w2-f162m-sub160,J1802271,270.6132376,60.72653838,59768.9,59768.92876,8.92,INFRARED,F150W2;F162M,1008,2334,Star; A dwarfs,Absolute Flux Calibration (A Dwarfs),59774.54167,NIRCAM/IMAGE,"Gordon, Karl D.",1536,CAL,JWST,-999,CALJWST,POLYGON 270.617847922 60.730150754 270.621006057 60.724681363 270.608535958 60.722959162 270.605375868 60.728428261,mast:JWST/product/jw01536-o060_t013_nircam_f150w2-f162m-sub160_i2d.jpg,mast:JWST/product/jw01536-o060_t013_nircam_f150w2-f162m-sub160_i2d.fits,PUBLIC,False,NaN,science,87625440,449486499
spectrum,3,JWST,jw02738-o004_s02220_niriss_f200w-gr150r,JWST-NEP-TDS-FIELD,260.6995667,65.82265,59996.32809,59996.55802,687.153,Infrared,GR150R;F200W,800,2300,Unidentified; Infrared sources; Radio sources; Variable radiation sources; Visible sources; X-ray sources,JWST Medium-Deep Fields -- Windhorst/Hammel GTO North Ecliptic Pole Fields,60361.79329,NIRISS/WFSS,"Windhorst, Rogier A.",2738,GTO,JWST,-999,CALJWST,POLYGON 260.74448006 65.80377953 260.65370412 65.80396258 260.65456027 65.84146562 260.74544824 65.84125147 260.74448006 65.80377953,mast:JWST/product/jw02738-o004_s02220_niriss_f200w-gr150r_cal.jpg,mast:JWST/product/jw02738-o004_s02220_niriss_f200w-gr150r_x1d.fits,PUBLIC,False,NaN,science,213016250,442773662
spectrum,3,JWST,jw02738-c1003_s02859_niriss_f200w-gr150r,JWST-NEP-TDS-FIELD,260.6995667,65.82265,59909.38902,60094.48384,687.153,Infrared,GR150R;F200W,800,2300,Unidentified; Infrared sources; Radio sources; Variable radiation sources; Visible sources; X-ray sources,JWST Medium-Deep Fields -- Windhorst/Hammel GTO North Ecliptic Pole Fields,60462.03392,NIRISS/WFSS,"Windhorst, Rogier A.",2738,GTO,JWST,-999,CALJWST,POLYGON 260.74448006 65.80377953 260.65370412 65.80396258 260.65456027 65.84146562 260.74544824 65.84125147 260.74448006 65.80377953,mast:JWST/product/jw02738-c1003_s02859_niriss_f200w-gr150r_cal.jpg,mast:JWST/product/jw02738-c1003_s02859_niriss_f200w-gr150r_x1d.fits,PUBLIC,False,NaN,science,213006824,442911358
spectrum,3,JWST,jw04291-o006_s00662_nirspec_f170lp-g235h,Obs6_4291_40,214.9215429,52.91308333,60400.00216,60400.3845,1896.556,INFRARED,F170LP;G235H,1660,5000,,Galaxy angular momentum alignment with filaments at z ~ 3: The effect of large scale structure on galaxies,60400.43941,NIRSPEC/MSA,"Kassin, Susan",4291,GO,JWST,-999,CALJWST,POLYGON 214.949157686 52.904936777 214.949496925 52.904936777 214.949496925 52.90409896 214.949157686 52.90409896,mast:JWST/product/jw04291-o006_s00662_nirspec_f170lp-g235h_cal.jpg,mast:JWST/product/jw04291-o006_s00662_nirspec_f170lp-g235h_s2d.fits,PUBLIC,False,NaN,science,213030044,449883539
spectrum,3,JWST,jw01324-c1000_s00550_niriss_f115w-gr150c,ABELL2744,3.594322083,-30.39569444,59759.0131,60132.41076,1288.412,INFRARED,GR150C;F115W,800,2200,Clusters of Galaxies; Abell clusters,Through the looking GLASS: a JWST exploration of galaxy formation and evolution from cosmic dawn to present day,60133.63485,NIRISS/WFSS,"Treu, Tommaso L.",1324,ERS,JWST,-999,CALJWST,POLYGON 3.61566792 -30.4145566 3.57252534 -30.41437319 3.5729716 -30.37687049 3.61608797 -30.37708431 3.61566792 -30.4145566,mast:JWST/product/jw01324-c1000_s00550_niriss_f115w-gr150c_cal.jpg,mast:JWST/product/jw01324-c1000_s00550_niriss_f115w-gr150c_x1d.fits,PUBLIC,False,NaN,science,216238818,560905128
spectrum,3,JWST,jw01181-c1001_s32058_nirspec_f170lp-g235m,1181-MERGED-APT-CLEAN-CLEAN,189.1338629,62.26666111,59979.85261,59982.58134,3063.666,Infrared,F170LP;G235M,1660,5000,,NIRCam-NIRSpec galaxy assembly survey - GOODS-N,60348.04921,NIRSPEC/MSA,"Eisenstein, Daniel J.",1181,GTO,JWST,-999,CALJWST,POLYGON 189.114651552 62.299046099 189.11524683 62.299046099 189.11524683 62.298255815 189.114651552 62.298255815,mast:JWST/product/jw01181-c1001_s32058_nirspec_f170lp-g235m_cal.jpg,mast:JWST/product/jw01181-c1001_s32058_nirspec_f170lp-g235m_s2d.fits,PUBLIC,False,NaN,science,184319059,436872115
spectrum,3,JWST,jw01181-o098_s55720_nirspec_f070lp-g140m,21_3_23_mediumjwst_trim_ta5_v2,189.2135646,62.21797222,60091.87815,60092.50285,3063.666,Infrared,F070LP;G140M,700,5000,,NIRCam-NIRSpec galaxy assembly survey - GOODS-N,60157.57574,NIRSPEC/MSA,"Eisenstein, Daniel J.",1181,GTO,JWST,-999,CALJWST,POLYGON 189.209361111 62.199408876 189.211172691 62.199408876 189.211172691 62.199380857 189.209361111 62.199380857,mast:JWST/product/jw01181-o098_s55720_nirspec_f070lp-g140m_cal.jpg,mast:JWST/product/jw01181-o098_s55720_nirspec_f070lp-g140m_s2d.fits,PUBLIC,False,NaN,science,140277645,427849302
